PeakID (cmd=annotatePeaks.pl reproducible_peaks_filtered.bed GRCh38.primary_assembly.genome.fa -gtf gencode.v45.primary_assembly.annotation.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr3-432	chr3	45167543	45167805	+	1	NA	Intergenic	Intergenic	-7499	ENST00000431490.1	ENSG00000224094	ENST00000431490			RPS24P8			processed_pseudogene
chr10-7	chr10	133520264	133520526	+	1	NA	promoter-TSS (ENST00000463117.6)	protein_coding-promoter-TSS (ENST00000463117.6)	-11	ENST00000463117.6	ENSG00000130649	ENST00000252945			CYP2E1			protein_coding
chrX-7	chrX	39953975	39954237	+	1	NA	Intergenic	Intergenic	45797	ENST00000649640.1	ENSG00000285709	ENST00000649640			ENSG00000285709			lncRNA
chr2-821	chr2	178112249	178112511	+	1	NA	promoter-TSS (ENST00000286070.10)	protein_coding-promoter-TSS (ENST00000286070.10)	-44	ENST00000424000.6	ENSG00000155636	ENST00000493048			RBM45			protein_coding
chr15-39	chr15	89334823	89335085	+	1	NA	promoter-TSS (ENST00000268124.11)	protein_coding-promoter-TSS (ENST00000268124.11)	-93	ENST00000442287.6	ENSG00000140521	ENST00000530292			POLG			protein_coding
chr20-276	chr20	34876517	34876779	+	1	NA	promoter-TSS (ENST00000253382.5)	protein_coding-promoter-TSS (ENST00000253382.5)	26	ENST00000476922.5	ENSG00000131069	ENST00000493250			ACSS2			protein_coding
chr2-728	chr2	63984353	63984615	+	1	NA	intron (ENST00000409558.8, intron 1 of 22)	protein_coding-intron (ENST00000272322.9, intron 1 of 22)	-8882	ENST00000354504.7	ENSG00000143952	ENST00000354504			VPS54			protein_coding
chr3-120	chr3	142596235	142596497	+	1	NA	promoter-TSS (ENST00000457734.7)	protein_coding-promoter-TSS (ENST00000457734.7)	-27	ENST00000457734.7	ENSG00000120756	ENST00000483373			PLS1			protein_coding
chr20-1129	chr20	38291179	38291441	+	1	NA	intron (ENST00000437016.1, intron 1 of 2)	lncRNA-intron (ENST00000418004.5, intron 2 of 2)	-12840	ENST00000262865.9	ENSG00000101425	ENST00000642449			BPI			protein_coding
chr19-26	chr19	46863859	46864121	+	1	NA	intron (ENST00000672722.1, intron 1 of 6)	protein_coding-intron (ENST00000672722.1, intron 1 of 6)	2993	ENST00000672722.1	ENSG00000160007	ENST00000595822			ARHGAP35			protein_coding
chr16-184	chr16	593552	593814	+	1	NA	intron (ENST00000569575.5, intron 2 of 5)	protein_coding-intron (ENST00000248139.8, intron 1 of 5)	3351	ENST00000563109.1	ENSG00000197562	ENST00000248139			RAB40C			protein_coding
chr14-102	chr14	88775607	88775869	+	1	NA	intron (ENST00000554922.6, intron 1 of 43)	protein_coding-intron (ENST00000380664.9, intron 1 of 41)	16765	ENST00000380664.9	ENSG00000165521	ENST00000553526			EML5			protein_coding
chr19-522	chr19	55117772	55118034	+	1	NA	promoter-TSS (ENST00000263433.8)	protein_coding-promoter-TSS (ENST00000263433.8)	48	ENST00000653659.1	ENSG00000287170	ENST00000653659			ENSG00000287170			lncRNA
chr1-35	chr1	107936664	107936926	+	1	NA	intron (ENST00000527011.5, intron 1 of 27)	protein_coding-intron (ENST00000370056.9, intron 1 of 26)	26705	ENST00000530671.1	ENSG00000134215	ENST00000469325			VAV3			protein_coding
chr19-380	chr19	34926877	34927139	+	1	NA	promoter-TSS (ENST00000601540.5)	protein_coding-promoter-TSS (ENST00000601540.5)	28	ENST00000601957.5	ENSG00000168661	ENST00000595818			ZNF30			protein_coding
chr15-169	chr15	52331408	52331670	+	1	NA	exon (ENST00000692874.1, exon 1 of 8)	protein_coding-exon (ENST00000692874.1, exon 1 of 8)	211	ENST00000692874.1	ENSG00000197535	ENST00000553916			MYO5A			protein_coding
chr3-89	chr3	161291273	161291535	+	1	NA	Intergenic	Intergenic	34815	ENST00000467631.1	ENSG00000240138	ENST00000467631			EEF1GP4			processed_pseudogene
chr1-300	chr1	29105971	29106233	+	1	NA	intron (ENST00000373800.7, intron 16 of 18)	protein_coding-intron (ENST00000343067.9, intron 17 of 20)	8515	ENST00000462032.1	ENSG00000159023	ENST00000646260			EPB41			protein_coding
chr11-186	chr11	66002166	66002428	+	1	NA	promoter-TSS (ENST00000312175.7)	protein_coding-promoter-TSS (ENST00000312175.7)	-19	ENST00000524663.1	ENSG00000175334	ENST00000528648			BANF1			protein_coding
chr17-1801	chr17	65394696	65394958	+	1	NA	Intergenic	Intergenic	-62714	ENST00000579474.1	ENSG00000263520	ENST00000579474			LINC02563			lncRNA
chr8-212	chr8	98293669	98293931	+	1	NA	intron (ENST00000519324.1, intron 1 of 2)	protein_coding-intron (ENST00000341166.3, intron 1 of 11)	310	ENST00000519324.1	ENSG00000104361	ENST00000522188			NIPAL2			protein_coding
chr2-421	chr2	230794084	230794346	+	1	NA	intron (ENST00000478152.1, intron 2 of 2)	protein_coding-intron (ENST00000258418.10, intron 4 of 8)	3317	ENST00000478152.1	ENSG00000135932	ENST00000478152			CAB39			protein_coding
chr3-4	chr3	193872421	193872683	+	1	NA	Intergenic	Intergenic	-28528	ENST00000445168.1	ENSG00000229155	ENST00000445168			LINC02038			lncRNA
chr5-76	chr5	139561334	139561596	+	1	NA	promoter-TSS (ENST00000398734.8)	protein_coding-promoter-TSS (ENST00000398734.8)	126	ENST00000398733.8	ENSG00000131508	ENST00000398733			UBE2D2			protein_coding
chr7-112	chr7	2508837	2509099	+	1	NA	Intergenic	Intergenic	-3561	ENST00000402506.5	ENSG00000106003	ENST00000359574			LFNG			protein_coding
chr3-134	chr3	53664912	53665174	+	1	NA	intron (ENST00000640483.1, intron 5 of 40)	protein_coding-intron (ENST00000288139.11, intron 5 of 48)	-1320	ENST00000481085.5	ENSG00000157388	ENST00000638120			CACNA1D			protein_coding
chr2-384	chr2	85561376	85561638	+	1	NA	promoter-TSS (ENST00000233838.9)	protein_coding-promoter-TSS (ENST00000233838.9)	-6	ENST00000688205.1	ENSG00000115486	ENST00000233838			GGCX			protein_coding
chr1-597	chr1	179025574	179025836	+	1	NA	promoter-TSS (ENST00000263733.5)	protein_coding-promoter-TSS (ENST00000263733.5)	-99	ENST00000440702.5	ENSG00000116199	ENST00000263733			FAM20B			protein_coding
chr12-426	chr12	53321519	53321781	+	1	NA	promoter-TSS (ENST00000209873.9)	protein_coding-promoter-TSS (ENST00000209873.9)	-34	ENST00000549983.5	ENSG00000094914	ENST00000548880			AAAS			protein_coding
chr12-248	chr12	132426881	132427143	+	1	NA	Intergenic	Intergenic	-1804	ENST00000622182.1	ENSG00000274373	ENST00000622182			ENSG00000274373			lncRNA
chr6-112	chr6	16168331	16168593	+	1	NA	Intergenic	Intergenic	-3144	ENST00000403169.1	ENSG00000216364	ENST00000403169			MRPL42P2			processed_pseudogene
chr17-152	chr17	67378540	67378802	+	1	NA	promoter-TSS (ENST00000584471.5)	protein_coding-promoter-TSS (ENST00000584471.5)	-295	ENST00000584471.5	ENSG00000154217	ENST00000578527			PITPNC1			protein_coding
chr5-335	chr5	134511984	134512246	+	1	NA	Intergenic	Intergenic	5563	ENST00000515627.3	ENSG00000251169	ENST00000515627			LINC01843			lncRNA
chrX-85	chrX	130903099	130903361	+	1	NA	promoter-TSS (ENST00000338144.8)	protein_coding-promoter-TSS (ENST00000338144.8)	0	ENST00000686943.1	ENSG00000165675	ENST00000394363			ENOX2			protein_coding
chr2-9	chr2	47176484	47176746	+	1	NA	promoter-TSS (ENST00000272298.12)	protein_coding-promoter-TSS (ENST00000272298.12)	8	ENST00000652974.1	ENSG00000143933	ENST00000489742			CALM2			protein_coding
chr15-45	chr15	40755124	40755386	+	1	NA	promoter-TSS (ENST00000338376.8)	protein_coding-promoter-TSS (ENST00000338376.8)	-1	ENST00000338376.8	ENSG00000137824	ENST00000557831			RMDN3			protein_coding
chr7-113	chr7	4641819	4642081	+	1	NA	promoter-TSS (ENST00000667321.1)	lncRNA-promoter-TSS (ENST00000667321.1)	-298	ENST00000667321.1	ENSG00000286874	ENST00000667321			ENSG00000286874			lncRNA
chr20-16	chr20	44714686	44714948	+	1	NA	promoter-TSS (ENST00000190983.5)	protein_coding-promoter-TSS (ENST00000190983.5)	-27	ENST00000372868.6	ENSG00000064205	ENST00000190983			CCN5			protein_coding
chr9-63	chr9	137482134	137482396	+	1	NA	intron (ENST00000406427.6, intron 21 of 34)	protein_coding-intron (ENST00000277531.8, intron 20 of 33)	-1538	ENST00000469998.1	ENSG00000130653	ENST00000469998			PNPLA7			protein_coding
chr19-176	chr19	4723926	4724188	+	1	NA	promoter-TSS (ENST00000262960.14)	protein_coding-promoter-TSS (ENST00000262960.14)	-214	ENST00000601130.6	ENSG00000142002	ENST00000601764			DPP9			protein_coding
chr20-1892	chr20	42582348	42582610	+	1	NA	intron (ENST00000617474.1, intron 7 of 30)	protein_coding-intron (ENST00000356100.6, intron 7 of 30)	-24215	ENST00000446195.1	ENSG00000229892	ENST00000446195			ENSG00000229892			processed_pseudogene
chr3-75	chr3	11272263	11272525	+	1	NA	promoter-TSS (ENST00000354449.7)	protein_coding-promoter-TSS (ENST00000354449.7)	-3	ENST00000685771.1	ENSG00000197548	ENST00000434066			ATG7			protein_coding
chr2-275	chr2	20071668	20071930	+	1	NA	intron (ENST00000430429.1, intron 1 of 1)	lncRNA-intron (ENST00000430429.1, intron 1 of 1)	19665	ENST00000688203.1	ENSG00000223734	ENST00000688203			LAPTM4A-DT			lncRNA
chr6-325	chr6	122609981	122610243	+	1	NA	promoter-TSS (ENST00000368448.5)	protein_coding-promoter-TSS (ENST00000368448.5)	-120	ENST00000392490.5	ENSG00000135549	ENST00000368452			PKIB			protein_coding
chr11-65	chr11	69301793	69302055	+	1	NA	intron (ENST00000544781.5, intron 1 of 2)	lncRNA-intron (ENST00000544781.5, intron 1 of 2)	1883	ENST00000535743.1	ENSG00000213275	ENST00000535743			IFITM9P			processed_pseudogene
chr1-53	chr1	175023337	175023599	+	1	NA	promoter-TSS (ENST00000367677.3)	protein_coding-promoter-TSS (ENST00000367677.3)	-43	ENST00000476371.1	ENSG00000120333	ENST00000476371			MRPS14			protein_coding
chr2-108	chr2	102586264	102586526	+	1	NA	Intergenic	Intergenic	-33158	ENST00000233969.3	ENSG00000115616	ENST00000467657			SLC9A2			protein_coding
chr19-126	chr19	44890752	44891014	+	1	NA	promoter-TSS (ENST00000252487.9)	protein_coding-promoter-TSS (ENST00000252487.9)	-7	ENST00000585408.1	ENSG00000267282	ENST00000585408			ENSG00000267282			lncRNA
chr16-311	chr16	89582115	89582377	+	1	NA	intron (ENST00000268720.9, intron 3 of 16)	protein_coding-intron (ENST00000268720.9, intron 3 of 16)	-2575	ENST00000532500.1	ENSG00000178773	ENST00000568977			CPNE7			protein_coding
chr17-466	chr17	74758133	74758395	+	1	NA	intron (ENST00000583369.5, intron 1 of 2)	protein_coding-intron (ENST00000262613.10, intron 1 of 5)	-3739	ENST00000413388.2	ENSG00000109062	ENST00000262613			NHERF1			protein_coding
chr3-195	chr3	184711737	184711999	+	1	NA	promoter-TSS (ENST00000663807.1)	lncRNA-promoter-TSS (ENST00000663807.1)	196	ENST00000317897.5	ENSG00000177383	ENST00000317897			MAGEF1			protein_coding
chr9-121	chr9	98805830	98806092	+	1	NA	intron (ENST00000647710.1, intron 1 of 1)	lncRNA-intron (ENST00000647710.1, intron 1 of 1)	1603	ENST00000647710.1	ENSG00000285706	ENST00000647710			ENSG00000285706			lncRNA
chr7-325	chr7	1269203	1269465	+	1	NA	TTS (ENST00000453798.1)	lncRNA-TTS (ENST00000453798.1)	1981	ENST00000453798.1	ENSG00000233082	ENST00000453798			ENSG00000233082			lncRNA
chr5-589	chr5	146446824	146447086	+	1	NA	promoter-TSS (ENST00000296702.9)	protein_coding-promoter-TSS (ENST00000296702.9)	-356	ENST00000507175.5	ENSG00000113649	ENST00000509810			TCERG1			protein_coding
chr15-319	chr15	70375023	70375285	+	1	NA	Intergenic	Intergenic	53578	ENST00000558226.1	ENSG00000259503	ENST00000558226			ENSG00000259503			lncRNA
chr9-27	chr9	129488589	129488851	+	1	NA	promoter-TSS (ENST00000419300.3)	lncRNA-promoter-TSS (ENST00000419300.3)	11	ENST00000657306.1	ENSG00000204054	ENST00000653047			LINC00963			lncRNA
chr9-260	chr9	129174148	129174410	+	1	NA	intron (ENST00000674648.1, intron 2 of 2)	protein_coding-intron (ENST00000674559.1, intron 2 of 6)	-1528	ENST00000599172.3	ENSG00000204055	ENST00000675308			IER5L-AS1			lncRNA
chr2-99	chr2	163348131	163348393	+	1	NA	Intergenic	Intergenic	59267	ENST00000364032.1	ENSG00000200902	ENST00000364032			RNU6-627P			snRNA
chr12-6	chr12	103841854	103842116	+	1	NA	promoter-TSS (ENST00000392876.8)	protein_coding-promoter-TSS (ENST00000392876.8)	534	ENST00000551650.1	ENSG00000257327	ENST00000551650			ENSG00000257327			lncRNA
chr14-22	chr14	96083747	96084009	+	1	NA	intron (ENST00000553764.1, intron 2 of 2)	protein_coding-intron (ENST00000553764.1, intron 2 of 2)	44494	ENST00000553782.1	ENSG00000227051	ENST00000553782			C14orf132			protein_coding
chr8-261	chr8	56993136	56993398	+	1	NA	promoter-TSS (ENST00000517461.1)	protein_coding-promoter-TSS (ENST00000517461.1)	93	ENST00000517461.1	ENSG00000104331	ENST00000262644			BPNT2			protein_coding
chr12-96	chr12	50224433	50224695	+	1	NA	promoter-TSS (ENST00000550611.1)	protein_coding-promoter-TSS (ENST00000550611.1)	-83	ENST00000550611.1	ENSG00000050405	ENST00000552909			LIMA1			protein_coding
chr10-486	chr10	60139757	60140019	+	1	NA	promoter-TSS (ENST00000373815.5)	protein_coding-promoter-TSS (ENST00000373815.5)	-24	ENST00000633779.1	ENSG00000282121	ENST00000633779			ENSG00000282121			lncRNA
chr1-185	chr1	108963280	108963542	+	1	NA	promoter-TSS (ENST00000302500.5)	protein_coding-promoter-TSS (ENST00000302500.5)	2	ENST00000676454.1	ENSG00000121940	ENST00000675790			CLCC1			protein_coding
chr8-8	chr8	94719708	94719970	+	1	NA	promoter-TSS (ENST00000414645.6)	protein_coding-promoter-TSS (ENST00000414645.6)	-36	ENST00000520774.5	ENSG00000156162	ENST00000519353			DPY19L4			protein_coding
chr1-111	chr1	40039852	40040114	+	1	NA	promoter-TSS (ENST00000340450.7)	protein_coding-promoter-TSS (ENST00000340450.7)	-250	ENST00000372797.7	ENSG00000131236	ENST00000420216			CAP1			protein_coding
chr15-10	chr15	89378560	89378822	+	1	NA	promoter-TSS (ENST00000538734.7)	lncRNA-promoter-TSS (ENST00000538734.7)	128	ENST00000558754.6	ENSG00000255571	ENST00000657897			MIR9-3HG			lncRNA
chr8-49	chr8	27311368	27311630	+	1	NA	promoter-TSS (ENST00000305364.9)	protein_coding-promoter-TSS (ENST00000305364.9)	17	ENST00000397501.5	ENSG00000120899	ENST00000519650			PTK2B			protein_coding
chr1-501	chr1	168098755	168099017	+	1	NA	intron (ENST00000546300.5, intron 1 of 4)	protein_coding-intron (ENST00000271357.9, intron 2 of 5)	6023	ENST00000493800.1	ENSG00000143147	ENST00000539777			GPR161			protein_coding
chr14-23	chr14	85587365	85587627	+	1	NA	intron (ENST00000683129.1, intron 1 of 1)	protein_coding-intron (ENST00000330753.6, intron 1 of 1)	26633	ENST00000553627.1	ENSG00000185070	ENST00000554746			FLRT2			protein_coding
chr2-454	chr2	71130448	71130710	+	1	NA	promoter-TSS (ENST00000244217.6)	protein_coding-promoter-TSS (ENST00000244217.6)	-49	ENST00000694907.2	ENSG00000124383	ENST00000493360			MPHOSPH10			protein_coding
chr17-1148	chr17	74923514	74923776	+	1	NA	promoter-TSS (ENST00000331427.9)	protein_coding-promoter-TSS (ENST00000331427.9)	-389	ENST00000579243.1	ENSG00000182040	ENST00000579243			USH1G			protein_coding
chr1-205	chr1	51878852	51879114	+	1	NA	promoter-TSS (ENST00000352171.12)	protein_coding-promoter-TSS (ENST00000352171.12)	-178	ENST00000354831.11	ENSG00000078618	ENST00000485608			NRDC			protein_coding
chr7-591	chr7	26398868	26399130	+	1	NA	promoter-TSS (ENST00000653226.2)	lncRNA-promoter-TSS (ENST00000653226.2)	52	ENST00000663877.1	ENSG00000214870	ENST00000653226			LINC02981			lncRNA
chr10-214	chr10	91908801	91909063	+	1	NA	exon (ENST00000311575.6, exon 2 of 2)	protein_coding-exon (ENST00000311575.6, exon 2 of 2)	554	ENST00000311575.6	ENSG00000174721	ENST00000311575			FGFBP3			protein_coding
chr8-89	chr8	100213503	100213765	+	1	NA	intron (ENST00000523302.1, intron 1 of 2)	protein_coding-intron (ENST00000251809.4, intron 11 of 18)	547	ENST00000523302.1	ENSG00000104450	ENST00000520508			SPAG1			protein_coding
chr17-3	chr17	61411734	61411996	+	1	NA	promoter-TSS (ENST00000592009.1)	lncRNA-promoter-TSS (ENST00000592009.1)	114	ENST00000623772.1	ENSG00000187013	ENST00000623772			LINC02875			lncRNA
chr8-4	chr8	127800785	127801047	+	1	NA	intron (ENST00000665372.1, intron 2 of 3)	lncRNA-intron (ENST00000504719.7, intron 1 of 3)	4883	ENST00000523068.2	ENSG00000249859	ENST00000667305			PVT1			lncRNA
chr15-509	chr15	68579409	68579671	+	1	NA	intron (ENST00000261861.10, intron 1 of 11)	protein_coding-intron (ENST00000261861.10, intron 1 of 11)	547	ENST00000261861.10	ENSG00000103647	ENST00000543950			CORO2B			protein_coding
chrX-6	chrX	40578067	40578329	+	1	NA	Intergenic	Intergenic	-1174	ENST00000436783.6	ENSG00000182220	ENST00000635734			ATP6AP2			protein_coding
chr7-338	chr7	30149079	30149341	+	1	NA	intron (ENST00000324489.5, intron 2 of 2)	protein_coding-intron (ENST00000324453.13, intron 2 of 2)	3409	ENST00000324489.5	ENSG00000180354	ENST00000324489			MTURN			protein_coding
chr22-5	chr22	30408842	30409104	+	1	NA	promoter-TSS (ENST00000439023.3)	protein_coding-promoter-TSS (ENST00000439023.3)	-49	ENST00000483116.5	ENSG00000100003	ENST00000428195			SEC14L2			protein_coding
chr7-780	chr7	25862397	25862659	+	1	NA	Intergenic	Intergenic	7206	ENST00000702991.1	ENSG00000290106	ENST00000702991			ENSG00000290106			lncRNA
chr6-338	chr6	170129747	170130009	+	1	NA	Intergenic	Intergenic	-5496	ENST00000671798.1	ENSG00000288162	ENST00000671798			ENSG00000288162			lncRNA
chr14-27	chr14	90331715	90331977	+	1	NA	promoter-TSS (ENST00000354366.8)	protein_coding-promoter-TSS (ENST00000354366.8)	58	ENST00000628832.1	ENSG00000119720	ENST00000554464			NRDE2			protein_coding
chr7-97	chr7	27740803	27741065	+	1	NA	promoter-TSS (ENST00000441955.2)	lncRNA-promoter-TSS (ENST00000441955.2)	-539	ENST00000441955.2	ENSG00000229893	ENST00000441955			TAX1BP1-AS1			lncRNA
chr22-37	chr22	19751118	19751380	+	1	NA	Intergenic	Intergenic	-5454	ENST00000359500.7	ENSG00000184058	ENST00000700274			TBX1			protein_coding
KI270713.1-1	KI270713.1	21771	22033	+	1	NA	TTS (ENST00000619109.1)	snRNA-TTS (ENST00000619109.1)	122	ENST00000619109.1	ENSG00000275405	ENST00000619109			U1			snRNA
chr15-308	chr15	63042579	63042841	+	1	NA	promoter-TSS (ENST00000267996.11)	protein_coding-promoter-TSS (ENST00000267996.11)	23	ENST00000610733.1	ENSG00000140416	ENST00000558072			TPM1			protein_coding
chr3-54	chr3	20186255	20186517	+	1	NA	promoter-TSS (ENST00000263753.8)	protein_coding-promoter-TSS (ENST00000263753.8)	21	ENST00000635369.1	ENSG00000231304	ENST00000634837			SGO1-AS1			lncRNA
chr8-45	chr8	132775120	132775382	+	1	NA	promoter-TSS (ENST00000220847.8)	protein_coding-promoter-TSS (ENST00000220847.8)	-107	ENST00000220847.8	ENSG00000129292	ENST00000395390			PHF20L1			protein_coding
chr12-39	chr12	55926921	55927183	+	1	NA	promoter-TSS (ENST00000302533.6)	protein_coding-promoter-TSS (ENST00000302533.6)	59	ENST00000302533.6	ENSG00000170473	ENST00000557259			PYM1			protein_coding
chr6-168	chr6	151616182	151616444	+	1	NA	promoter-TSS (ENST00000384691.1)	snRNA-promoter-TSS (ENST00000384691.1)	-434	ENST00000384691.1	ENSG00000207422	ENST00000384691			RNU6-813P			snRNA
chr14-130	chr14	103921497	103921759	+	1	NA	promoter-TSS (ENST00000286953.8)	protein_coding-promoter-TSS (ENST00000286953.8)	-62	ENST00000554528.1	ENSG00000156411	ENST00000553430			ATP5MJ			protein_coding
chr14-120	chr14	49676587	49676849	+	1	NA	promoter-TSS (ENST00000554632.2)	processed_pseudogene-promoter-TSS (ENST00000554632.2)	-651	ENST00000554632.2	ENSG00000259155	ENST00000554632			STK16P1			processed_pseudogene
chr19-469	chr19	37656062	37656324	+	1	NA	promoter-TSS (ENST00000351218.6)	protein_coding-promoter-TSS (ENST00000351218.6)	68	ENST00000514101.6	ENSG00000120784	ENST00000514101			ZFP30			protein_coding
chr7-316	chr7	155003418	155003680	+	1	NA	promoter-TSS (ENST00000404141.6)	protein_coding-promoter-TSS (ENST00000404141.6)	128	ENST00000608317.2	ENSG00000273344	ENST00000608317			PAXIP1-DT			lncRNA
chr12-56	chr12	116385816	116386078	+	1	NA	intron (ENST00000548506.1, intron 4 of 4)	lncRNA-intron (ENST00000548506.1, intron 4 of 4)	17183	ENST00000548506.1	ENSG00000258346	ENST00000548506			ENSG00000258346			lncRNA
chr16-516	chr16	67441209	67441471	+	1	NA	promoter-TSS (ENST00000567694.5)	protein_coding-promoter-TSS (ENST00000567694.5)	52	ENST00000567694.5	ENSG00000159720	ENST00000290949			ATP6V0D1			protein_coding
chr17-2405	chr17	49014541	49014803	+	1	NA	promoter-TSS (ENST00000504865.3)	lncRNA-promoter-TSS (ENST00000504865.3)	755	ENST00000499130.6	ENSG00000159217	ENST00000505562			IGF2BP1			protein_coding
chr20-25	chr20	57695044	57695306	+	1	NA	intron (ENST00000472841.1, intron 1 of 1)	protein_coding-intron (ENST00000265626.8, intron 1 of 3)	-3345	ENST00000395814.5	ENSG00000124225	ENST00000265626			PMEPA1			protein_coding
chr2-310	chr2	3519009	3519271	+	1	NA	promoter-TSS (ENST00000450917.1)	lncRNA-promoter-TSS (ENST00000450917.1)	-135	ENST00000450917.1	ENSG00000235078	ENST00000450917			ENSG00000235078			lncRNA
chr1-144	chr1	147172359	147172621	+	1	NA	promoter-TSS (ENST00000254101.4)	protein_coding-promoter-TSS (ENST00000254101.4)	-20	ENST00000254101.4	ENSG00000131791	ENST00000474939			PRKAB2			protein_coding
chr1-96	chr1	109246256	109246518	+	1	NA	Intergenic	Intergenic	-3152	ENST00000271332.4	ENSG00000143126	ENST00000498157			CELSR2			protein_coding
chr20-183	chr20	47984647	47984909	+	1	NA	TTS (ENST00000425385.1)	lncRNA-TTS (ENST00000425385.1)	1374	ENST00000425385.1	ENSG00000229522	ENST00000425385			LINC01523			lncRNA
